GSM5356205	GSM5356206	GSM5356207	GSM5356208	GSM5356209	GSM5356210	GSM5356217	GSM5356218	GSM5356219	GSM5356220	GSM5356221	GSM5356222
ADSL	6.30893450757601	6.23991490397084	6.48351998367519	5.9616083996322	6.08222790686533	5.97426878922604	6.08283185926828	5.55719787007867	6.22732141660816	6.18969270696973	6.04182779806948	5.90673328268595
AGA	5.14237225165963	5.52788954165805	4.93114809172812	4.9231283263058	5.00466866414228	5.30396636367723	5.037808910062	4.65535499509182	5.22062253591711	4.69135328630581	5.20749902271222	4.25448089525195
AGL	-2.27669479307235	-2.27669479307235	-2.27669479307235	2.68204927429897	1.33881029228229	-2.27669479307235	1.06853009501392	1.36118283978164	2.06736833565533	1.72485520717258	-2.27669479307234	-2.27669479307235
AGXT	-2.27669479307235	-1.70114737628803	-2.27669479307235	-1.12601548363907	-2.27669479307234	-2.27669479307235	-2.27669479307234	-1.59633220174585	-0.623419555597659	-2.27669479307235	-2.27669479307234	-2.27669479307235
ALAD	6.62407791125173	6.3585025089553	6.52792715986767	6.29188383772246	6.58209044986101	6.67985723237825	6.17712255998381	6.8200362256673	6.19934316553548	6.10093219364064	6.29524401600376	6.5581058489565
ALAS2	-1.31868652011807	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-1.70890384899128	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
ABCD1	3.01521659756787	2.6265520566227	2.67432061635035	2.29478603320252	2.49993970324612	3.48918061934007	2.76018853267765	3.07266351429562	2.10497551724119	2.4102586589759	2.45598576953524	3.26999609555066
ALDOB	0.817711728789565	0.506324642783856	-0.341707463844906	1.09552529181883	0.354508474127348	-0.312158598825616	0.846977246264306	0.106746104281473	1.40138619907764	0.629026556870225	-0.206838846817294	0.881780657185671
AMPD1	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
ANK1	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
APC	4.20123412992635	3.35365355325976	-0.572266260004422	4.78500946828607	3.822190560771	2.2139557947528	2.0998970780941	4.78464230321755	3.48087157078845	5.60594138135683	3.86965027053712	4.20610908858618
APOA1	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-0.726282253099076	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
APOC3	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307234	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307234	-2.27669479307235
APOE	0.351949039902589	2.47727706341553	1.5295508226654	1.86701284020077	0.0150763609874521	-2.27669479307235	1.80347871929091	-2.27669479307235	1.20756951619764	3.46091794966442	0.975659297668881	0.120939622584691
APOH	-1.71959053774857	-2.27669479307235	-2.27669479307235	-2.27669479307235	-1.75770442008691	-2.27669479307235	-2.27669479307234	-2.27669479307235	-1.65717162906318	-2.27669479307235	-2.27669479307234	-2.27669479307235
FAS	2.10148030636841	1.98174755709399	1.05041661384489	-0.675644824018164	2.49993970324612	2.9325875577415	3.01232531873639	-1.59633220174585	3.64304501251355	0.276774587383127	3.27311032829715	1.63288413117143
AR	3.3676391036201	4.37463380122463	5.13150850053107	4.79812661190023	4.11779878665303	5.42558228667195	5.61389526852748	5.83686221362918	5.73708179095193	5.94686659558928	5.68260984749064	5.88538852542333
ARG1	-2.27669479307235	-2.27669479307235	-2.27669479307235	-2.27669479307235	-1.37681989443685	-2.27669479307235	-1.70890384899128	-2.27669479307235	-2.27669479307235	-1.12768863478595	-2.27669479307234	-0.258929540250089
