control 1	control 2	control 3	control 4	control 5	control 6	IL-17+TNFa 1	IL-17+TNFa 2	IL-17+TNFa 3	IL-17+TNFa 4	IL-17+TNFa 5	IL-17+TNFa 6
ABCA4	3.10890315376739	3.06668817303213	3.76229302325002	3.23976790326884	3.30735633839746	3.52637865323788	3.04812667085676	3.07089673299191	3.40387365968734	2.63878609843435	3.13926105721064	3.82996717011525
ABCA5	6.43329399274047	6.65123378871032	6.45143546232559	6.22848222593179	6.41643002754503	6.69365730298818	6.13659402379198	6.65251283183465	5.98029839598998	5.72742967281223	6.06177505145949	6.71315534033796
ABCA6	-3.15400561093548	0.0248800704411368	-3.15400561093548	-3.15400561093547	-3.15400561093547	-1.62168779485354	-3.15400561093548	0.650795601899133	-3.15400561093547	2.09921370633903	-3.15400561093548	-0.956087312047762
ABCA7	4.83265773496491	5.84681732759844	5.51760699938881	5.45024653982617	4.84692266450515	5.32747561322178	6.67955674313538	5.95674703039801	6.96252443647316	7.1070513413332	6.23529144341694	4.55413856803456
ABCA8	-2.13167222902314	-3.15400561093548	-3.15400561093548	-1.29101337848824	-1.6158574932961	-1.97661856553436	-2.18173480246917	-3.15400561093548	-3.15400561093547	-3.15400561093548	-2.18618705788234	-2.61942497858341
ABCA9	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	0.179542484477853	-3.15400561093547
ABCB1	-2.13167222902314	-2.5338212663461	-3.15400561093548	-3.15400561093547	-3.15400561093547	-1.62168779485354	-2.58746989355282	-3.15400561093548	-3.15400561093547	-3.15400561093548	-2.59041744995853	-2.61942497858341
ABCB10	4.64500608295884	4.69355016353955	4.56024015972475	4.57397659075984	4.35299927595209	4.71108968607434	4.57815349815729	4.49049133583216	4.81251257712282	4.62583021790892	4.71486020382786	4.73152935390447
ABCB11	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-0.895485650426129	-3.15400561093548	-3.15400561093548	-3.15400561093547	-1.55228591563302	-2.59041744995853	-1.92407130052709
ABCB4	-3.15400561093548	-3.15400561093548	-1.98551670049643	-3.15400561093547	-2.1889732147773	-3.15400561093548	-3.15400561093548	-3.15400561093548	-1.74011530412647	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABCB5	-1.31485068820411	-1.49943887225797	-1.63212964682836	-1.94062304480294	-1.39686781106379	-1.62168779485354	-1.86541708036361	-1.37459559455998	-3.15400561093547	-2.14141950301772	-2.18618705788234	-1.45685224766115
ABCB6	5.21661418111989	5.01220341713076	5.00643806498142	4.78251008562155	5.15478682872175	5.54236052430281	4.97754053090933	4.74449960137816	5.57132690494709	4.92353221474323	5.10303339825354	4.90168858483782
ABCB7	5.09474385165184	5.24348422726289	5.51096986750088	5.26810348857492	5.22454682009293	5.23004550139668	5.09851173191185	5.09340344559953	4.97859130097433	5.39062630082618	5.32023503080875	5.56764473657884
ABCB8	4.53756138176371	4.25233099617328	4.40661835299569	3.84650202126271	4.49663363163626	4.8593462852353	4.5215803032766	4.10006043982765	4.88125475580326	4.51839224871621	4.79238255635023	4.29742115109439
ABCB9	1.13594888324377	1.40407867700893	-0.908119286320023	1.02745377129315	-3.15400561093547	0.473018698089252	0.793557104053417	-2.0057685901684	-0.442843298456208	0.453948189877505	-1.61211323088715	0.346284492812325
ABCC1	4.76665186905747	3.78751446418278	4.65559721699532	4.15321889007271	4.08852984854655	5.16883270138432	3.12161863461595	2.50329439136935	4.81570931610778	4.07056106065639	4.50913174583266	4.01220456366643
ABCC10	1.69611575839093	2.01229416459698	3.04311595466691	2.37828112291924	3.25173914448902	3.16529146420238	2.26700865028204	3.26796729055359	2.56301157195338	3.0898927186523	3.30518278923137	3.58545049729993
ABCC11	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABCC12	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093548	-3.15400561093547	-3.15400561093548	-3.15400561093548	-3.15400561093547
ABCC2	-3.15400561093548	-3.15400561093548	-1.11157015211956	-1.6901692514204	-3.15400561093547	-3.15400561093548	-0.394517914253249	0.564551982103131	0.844273258097046	-1.32870396688294	-1.03445577220333	-1.10449778234514
ABCC3	4.09459585510091	3.50270972857098	3.1832903521297	3.98343142607142	3.44832718771427	3.5174777814272	3.9802081994538	4.1527377621875	3.07086275373027	5.63752960604029	5.4762861598764	1.88359595454994
